Specialist Task,Specialist Cluster,Cluster Family
"Prepare materials for preservation, storage or display",Research or prepare historical objects or data,"Data, analytics, and databases"
Evaluate characteristics of archival or historical objects,Research or prepare historical objects or data,"Data, analytics, and databases"
Conduct historical research,Research or prepare historical objects or data,"Data, analytics, and databases"
Collect archival data,Research or prepare historical objects or data,"Data, analytics, and databases"
Document test results,Collect samples and analyse results,"Data, analytics, and databases"
Collect samples of materials or products for testing,Collect samples and analyse results,"Data, analytics, and databases"
Collect samples for analysis or testing,Collect samples and analyse results,"Data, analytics, and databases"
"Test materials, solutions or samples",Collect samples and analyse results,"Data, analytics, and databases"
Evaluate data quality,Collect samples and analyse results,"Data, analytics, and databases"
Analyse test or validation data,Collect samples and analyse results,"Data, analytics, and databases"
Analyse test results,Collect samples and analyse results,"Data, analytics, and databases"
Examine documents to verify adherence to requirements,Verify accuracy of data or documents,"Data, analytics, and databases"
"Proofread documents, records or other files to ensure accuracy",Verify accuracy of data or documents,"Data, analytics, and databases"
Verify accuracy of data,Verify accuracy of data or documents,"Data, analytics, and databases"
Examine personal documentation to ensure that it is valid,Verify accuracy of data or documents,"Data, analytics, and databases"
Enter information into databases or software programs,Create and update databases,"Data, analytics, and databases"
Load digital images onto computers or websites,Create and update databases,"Data, analytics, and databases"
Create databases to store electronic data,Create and update databases,"Data, analytics, and databases"
Update computer database information,Create and update databases,"Data, analytics, and databases"
Operate laboratory equipment to analyse medical samples,Undertake laboratory operations and analysis,"Data, analytics, and databases"
Analyse laboratory specimens to detect abnormalities or other problems,Undertake laboratory operations and analysis,"Data, analytics, and databases"
Analyse laboratory findings,Undertake laboratory operations and analysis,"Data, analytics, and databases"
Confer with peers to accomplish work,Communicate and collaborate,Communication and collaboration
Liaise between departments or other groups to improve function or communication,Communicate and collaborate,Communication and collaboration
Advise others on business or operational matters,Communicate and collaborate,Communication and collaboration
Establish interpersonal business relationships to facilitate work activities,Communicate and collaborate,Communication and collaboration
Confer with staff to coordinate business operations,Communicate and collaborate,Communication and collaboration
"Discuss business strategies, practices or policies with managers",Communicate and collaborate,Communication and collaboration
Collaborate with others to resolve information technology issues,Communicate and collaborate,Communication and collaboration
Confer with others to conduct or arrange operational activities,Communicate and collaborate,Communication and collaboration
Explain technical product or service information to customers,Communicate and collaborate,Communication and collaboration
Communicate work orders or plans to co-workers,Communicate and collaborate,Communication and collaboration
Explain project details to the general public,Communicate and collaborate,Communication and collaboration
Discuss problems or issues with supervisors,Communicate and collaborate,Communication and collaboration
Coordinate project activities with other staff or departments,Communicate and collaborate,Communication and collaboration
Present research results,Communicate and collaborate,Communication and collaboration
Provide technical information or assistance to public,Communicate and collaborate,Communication and collaboration
Confer with other staff to resolve design or operational problems,Communicate and collaborate,Communication and collaboration
Communicate with other construction or mining staff to discuss project details,Communicate and collaborate,Communication and collaboration
Confer with co-workers or internal stakeholders to coordinate operational activities,Communicate and collaborate,Communication and collaboration
Confer with customers or designers to determine order specifications,Communicate and collaborate,Communication and collaboration
Report information to managers or other staff,Communicate and collaborate,Communication and collaboration
Discuss production content and progress with others,Communicate and collaborate,Communication and collaboration
Confer with managers to make operational decisions,Communicate and collaborate,Communication and collaboration
Advise customers on technical or procedural issues,Communicate and collaborate,Communication and collaboration
Develop working relationships with others to facilitate program activities,Communicate and collaborate,Communication and collaboration
Communicate project information to others,Communicate and collaborate,Communication and collaboration
Communicate with management or other staff to resolve problems,Communicate and collaborate,Communication and collaboration
Collaborate with others to determine production details,Communicate and collaborate,Communication and collaboration
Advise clients on security requirements and design security measures,Communicate and collaborate,Communication and collaboration
Confer with colleagues to formulate positions and strategies pertaining to pending issues,Communicate and collaborate,Communication and collaboration
"Negotiate with colleagues or members of other political parties in order to reconcile differing interests, and to create policies and agreements",Communicate and collaborate,Communication and collaboration
Advise others on the development or use of new technologies,Communicate and collaborate,Communication and collaboration
Advise others on ways to improve processes or products,Communicate and collaborate,Communication and collaboration
Coordinate with external parties to exchange information,Collaborate with stakeholders,Communication and collaboration
Represent the organisation in external relations,Collaborate with stakeholders,Communication and collaboration
Coordinate operational activities with external stakeholders,Collaborate with stakeholders,Communication and collaboration
Communicate with government agencies,Collaborate with stakeholders,Communication and collaboration
Collaborate with others in marketing activities,Collaborate with stakeholders,Communication and collaboration
Collaborate with others to develop or implement marketing strategies,Collaborate with stakeholders,Communication and collaboration
Develop collaborative relationships between departments or with external organisations,Collaborate with stakeholders,Communication and collaboration
Work with Indigenous populations to protect heritage sites,Collaborate with stakeholders,Communication and collaboration
"Represent the government at local, national, and international meetings and conferences",Collaborate with stakeholders,Communication and collaboration
"Hear testimony from constituents, representatives of interest groups, board and commission members, and others with an interest in bills or issues under consideration",Collaborate with stakeholders,Communication and collaboration
"Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships",Collaborate with stakeholders,Communication and collaboration
"Interview employees, customers or others to collect information",Communicate with others to coordinate work,Communication and collaboration
Serve on institutional or departmental committees,Communicate with others to coordinate work,Communication and collaboration
Confer with clients to determine needs,Communicate with others to coordinate work,Communication and collaboration
Interview clients to gather financial information,Communicate with others to coordinate work,Communication and collaboration
Discuss designs or plans with clients,Communicate with others to coordinate work,Communication and collaboration
"Interview clients to gather information about their backgrounds, needs or progress",Communicate with others to coordinate work,Communication and collaboration
Exchange information with colleagues,Communicate with others to coordinate work,Communication and collaboration
Read work orders or descriptions of problems to determine repairs or modifications needed,Communicate with others to coordinate work,Communication and collaboration
"Advise others on issues related to repairs, installation or equipment design",Communicate with others to coordinate work,Communication and collaboration
Confer with co-workers to resolve equipment problems,Communicate with others to coordinate work,Communication and collaboration
Confer with other professionals to plan patient care,Communicate with others to coordinate work,Communication and collaboration
Confer with court staff to clarify information,Communicate with others to coordinate work,Communication and collaboration
Notify others of equipment repair or maintenance needs,Communicate with others to coordinate work,Communication and collaboration
Confer with others to coordinate maintenance or cleaning activities,Communicate with others to coordinate work,Communication and collaboration
Confer with others to resolve production problems or equipment malfunctions,Communicate with others to coordinate work,Communication and collaboration
Confer with clients to exchange information,Communicate with others to coordinate work,Communication and collaboration
Communicate with co-workers to coordinate installations or repairs,Communicate with others to coordinate work,Communication and collaboration
Notify others of equipment problems,Communicate with others to coordinate work,Communication and collaboration
Advise real estate clients,Communicate with others to coordinate work,Communication and collaboration
Conduct opinion surveys or needs assessments,Assess and advise on public opinions,Communication and collaboration
Advise others on matters of public policy,Assess and advise on public opinions,Communication and collaboration
"Make decisions that balance the perspectives of private citizens, public officials, and party leaders",Assess and advise on public opinions,Communication and collaboration
Operate still or video cameras or related equipment,Operate audio-visual equipment,Communication and collaboration
Set up still or video cameras or related equipment,Operate audio-visual equipment,Communication and collaboration
"Operate communications, transmissions or broadcasting equipment",Operate audio-visual equipment,Communication and collaboration
Operate digital imaging equipment,Operate audio-visual equipment,Communication and collaboration
Operate photographic developing or print production equipment,Operate audio-visual equipment,Communication and collaboration
Operate audio-visual equipment,Operate audio-visual equipment,Communication and collaboration
Operate communications equipment or systems,Operate audio-visual equipment,Communication and collaboration
Apply decorative colouring to photographs or printed materials,Operate audio-visual equipment,Communication and collaboration
"Operate control consoles for sound, lighting or video",Operate audio-visual equipment,Communication and collaboration
Operate audio recording equipment,Operate audio-visual equipment,Communication and collaboration
"Document events or evidence, using photographic or audio-visual equipment",Operate audio-visual equipment,Communication and collaboration
Monitor broadcasting operations to ensure proper functioning,Operate audio-visual equipment,Communication and collaboration
Mix sound inputs,Operate audio-visual equipment,Communication and collaboration
Record images needed to address work issues,Operate audio-visual equipment,Communication and collaboration
Set up and operate lighting equipment,Operate audio-visual equipment,Communication and collaboration
Collaborate with others to determine technical details of productions,Collaborate and advise on educational and technical issues,Communication and collaboration
"Advise educators on curricula, instructional methods or policies",Collaborate and advise on educational and technical issues,Communication and collaboration
Collaborate with technical specialists to resolve design or development problems,Collaborate and advise on educational and technical issues,Communication and collaboration
Discuss design or technical features of goods or services with technical staff,Collaborate and advise on educational and technical issues,Communication and collaboration
Confer with technical staff to prepare designs or operational plans,Collaborate and advise on educational and technical issues,Communication and collaboration
"Communicate technical information to suppliers, contractors or regulatory agencies",Collaborate and advise on educational and technical issues,Communication and collaboration
Provide technical guidance to other staff,Collaborate and advise on educational and technical issues,Communication and collaboration
Coordinate cross-disciplinary research programs,Collaborate and advise on educational and technical issues,Communication and collaboration
Collaborate with other teaching professionals to develop educational programs,Collaborate and advise on educational and technical issues,Communication and collaboration
Advise students on academic or career matters,Collaborate and advise on educational and technical issues,Communication and collaboration
Collaborate with other agencies and institutions to coordinate educational matters,Collaborate and advise on educational and technical issues,Communication and collaboration
Collaborate with others to determine design specifications or details,Collaborate and advise on educational and technical issues,Communication and collaboration
Assist other educational professionals with projects or research,Collaborate and advise on educational and technical issues,Communication and collaboration
Collaborate with other professionals to develop education or assistance programs,Collaborate and advise on educational and technical issues,Communication and collaboration
Counsel clients regarding educational or vocational issues,Collaborate and advise on educational and technical issues,Communication and collaboration
Collaborate with others to develop or refine designs,Collaborate and advise on educational and technical issues,Communication and collaboration
Teach life skills or strategies to clients or their families,Collaborate and advise on educational and technical issues,Communication and collaboration
Speak to students to encourage and support the development of future political leaders,Collaborate and advise on educational and technical issues,Communication and collaboration
Interview others for news or entertainment purposes,Collect information from people,Communication and collaboration
"Collect information from people through observation, interviews or surveys",Collect information from people,Communication and collaboration
Interview people to gather information about criminal activities,Collect information from people,Communication and collaboration
Interview people to obtain information about actions or status of individuals,Collect information from people,Communication and collaboration
Negotiate agreements to resolve disputes,Undertake dispute resolution,Communication and collaboration
Mediate disputes,Undertake dispute resolution,Communication and collaboration
Arbitrate disputes between parties to resolve legal conflicts,Undertake dispute resolution,Communication and collaboration
Resolve interpersonal conflicts,Undertake dispute resolution,Communication and collaboration
Coach others,Coach others,Communication and collaboration
Collaborate with health care professionals to plan or provide treatment,Collaborate with health care professionals,Communication and collaboration
Inform medical professionals regarding patient conditions and care,Collaborate with health care professionals,Communication and collaboration
Collaborate with other professionals to assess client needs or plan treatments,Collaborate with health care professionals,Communication and collaboration
Communicate test or assessment results to medical professionals,Collaborate with health care professionals,Communication and collaboration
Supervise activities of other legal staff,Communicate with colleagues,Communication and collaboration
Provide information to co-workers,Communicate with colleagues,Communication and collaboration
Distribute materials to employees or customers,Communicate with colleagues,Communication and collaboration
Relay information between staff,Communicate with colleagues,Communication and collaboration
Signal others to coordinate work activities,Communicate with colleagues,Communication and collaboration
Communicate with others to coordinate material handling or movement,Communicate with colleagues,Communication and collaboration
Communicate situation details to appropriate personnel,Communicate with colleagues,Communication and collaboration
Communicate with others to coordinate activities,Communicate with colleagues,Communication and collaboration
Advise others on educational and student wellbeing matters,Provide advice on social or educational issues,Communication and collaboration
Advise others on social or educational issues,Provide advice on social or educational issues,Communication and collaboration
"Support individuals with diverse needs to understand, access and utilise information or services",Support diversity and inclusion,Communication and collaboration
"Deliver culturally appropriate programs, policies or services",Support diversity and inclusion,Communication and collaboration
"Act as an advocate or communicator regarding the cultural, diversity or accessibility needs of others",Support diversity and inclusion,Communication and collaboration
"Maintain a working understanding of the cultural, diversity and accessibility needs of others, and how this applies to the role",Support diversity and inclusion,Communication and collaboration
"Deliver inclusive and accessible programs, policies or services",Support diversity and inclusion,Communication and collaboration
"Develop programs, policies or services that are culturally appropriate",Support diversity and inclusion,Communication and collaboration
"Apply knowledge, understanding and respect of culturally significant sites or objects",Support diversity and inclusion,Communication and collaboration
"Prepare financial documents, reports or budgets","Undertake financial reporting, documentation and analysis",Business operations and financial activities
Analyse financial records to improve budgeting or planning,"Undertake financial reporting, documentation and analysis",Business operations and financial activities
Develop financial or business plans,"Undertake financial reporting, documentation and analysis",Business operations and financial activities
Prepare financial documents,"Undertake financial reporting, documentation and analysis",Business operations and financial activities
Develop financial plans for clients,"Undertake financial reporting, documentation and analysis",Business operations and financial activities
"Analyse budgetary, accounting or business data","Undertake financial reporting, documentation and analysis",Business operations and financial activities
Develop business or financial information systems,"Undertake financial reporting, documentation and analysis",Business operations and financial activities
Implement financial decisions,"Undertake financial reporting, documentation and analysis",Business operations and financial activities
Develop financial analysis methods,"Undertake financial reporting, documentation and analysis",Business operations and financial activities
Conduct financial audits,"Undertake financial reporting, documentation and analysis",Business operations and financial activities
Develop organisational policies or programs,Establish organisational policies or programs,Business operations and financial activities
Implement organisational process or policy changes,Establish organisational policies or programs,Business operations and financial activities
Develop organisational goals or objectives,Establish organisational policies or programs,Business operations and financial activities
Recommend organisational process or policy changes,Establish organisational policies or programs,Business operations and financial activities
Develop sustainable organisational policies or practices,Establish organisational policies or programs,Business operations and financial activities
Evaluate program effectiveness,Establish organisational policies or programs,Business operations and financial activities
Establish organisational guidelines or policies,Establish organisational policies or programs,Business operations and financial activities
"Develop policies or procedures for archives, museums or libraries",Establish organisational policies or programs,Business operations and financial activities
Develop promotional strategies for religious organisations,Establish organisational policies or programs,Business operations and financial activities
"Plan conferences, programs or special events",Establish organisational policies or programs,Business operations and financial activities
Develop plans for programs or services,Establish organisational policies or programs,Business operations and financial activities
Direct administrative or support services,"Manage services, staff or activities",Business operations and financial activities
"Direct organisational operations, projects or services","Manage services, staff or activities",Business operations and financial activities
"Direct sales, marketing or customer service activities","Manage services, staff or activities",Business operations and financial activities
Monitor facilities or operational systems,"Manage services, staff or activities",Business operations and financial activities
Manage control system activities in organisations,"Manage services, staff or activities",Business operations and financial activities
Direct productions or performances,"Manage services, staff or activities",Business operations and financial activities
Direct activities of staff,"Manage services, staff or activities",Business operations and financial activities
Direct department activities,"Manage services, staff or activities",Business operations and financial activities
Coordinate flight control or management activities,"Manage services, staff or activities",Business operations and financial activities
Direct operations of correctional facilities,"Manage services, staff or activities",Business operations and financial activities
Coordinate operational activities,"Manage services, staff or activities",Business operations and financial activities
Direct emergency management activities,"Manage services, staff or activities",Business operations and financial activities
Direct quality control activities,"Manage services, staff or activities",Business operations and financial activities
Monitor recreational facility operations,"Manage services, staff or activities",Business operations and financial activities
Direct criminal investigations,"Manage services, staff or activities",Business operations and financial activities
Direct security operations,"Manage services, staff or activities",Business operations and financial activities
Operate and maintain car wash facilities,"Manage services, staff or activities",Business operations and financial activities
Prepare operational budgets,Manage operational budgets,Business operations and financial activities
Determine resource needs,Manage operational budgets,Business operations and financial activities
Approve expenditures,Manage operational budgets,Business operations and financial activities
Manage organisational or project budgets,Manage operational budgets,Business operations and financial activities
Coordinate resource procurement activities,Manage operational budgets,Business operations and financial activities
Manage budgets for appropriate resource allocation,Manage operational budgets,Business operations and financial activities
Estimate costs for projects or productions,Manage operational budgets,Business operations and financial activities
Estimate operational costs,Manage operational budgets,Business operations and financial activities
Prepare project budgets,Manage operational budgets,Business operations and financial activities
Estimate time or monetary resources needed to complete projects,Manage operational budgets,Business operations and financial activities
Manage organisational or program finances,Manage operational budgets,Business operations and financial activities
"Plan and manage, and analyse costs and benefits of, proposed designs or projects",Manage operational budgets,Business operations and financial activities
Direct financial operations,"Manage, monitor and undertake financial activities",Business operations and financial activities
Monitor flow of cash or other resources,"Manage, monitor and undertake financial activities",Business operations and financial activities
Authorise financial actions,"Manage, monitor and undertake financial activities",Business operations and financial activities
Direct fundraising or financing activities,"Manage, monitor and undertake financial activities",Business operations and financial activities
Assess financial status of clients,"Manage, monitor and undertake financial activities",Business operations and financial activities
Examine financial records,"Manage, monitor and undertake financial activities",Business operations and financial activities
Gather financial records,"Manage, monitor and undertake financial activities",Business operations and financial activities
Reconcile records of sales or other financial transactions,"Manage, monitor and undertake financial activities",Business operations and financial activities
Analyse financial information,"Manage, monitor and undertake financial activities",Business operations and financial activities
Calculate financial data,"Manage, monitor and undertake financial activities",Business operations and financial activities
Monitor financial information,"Manage, monitor and undertake financial activities",Business operations and financial activities
Analyse business or financial data,"Manage, monitor and undertake financial activities",Business operations and financial activities
Calculate tax information,"Manage, monitor and undertake financial activities",Business operations and financial activities
Examine financial records or processes,"Manage, monitor and undertake financial activities",Business operations and financial activities
Manage financial activities of the organisations,"Manage, monitor and undertake financial activities",Business operations and financial activities
Monitor financial indicators,"Manage, monitor and undertake financial activities",Business operations and financial activities
Balance receipts,"Manage, monitor and undertake financial activities",Business operations and financial activities
"Negotiate contracts for transportation, distribution or logistics services",Negotiate purchases or contracts,Business operations and financial activities
Negotiate sales or lease agreements for goods or services,Negotiate purchases or contracts,Business operations and financial activities
Negotiate contracts with clients or service providers,Negotiate purchases or contracts,Business operations and financial activities
Negotiate for services,Negotiate purchases or contracts,Business operations and financial activities
Negotiate prices or other sales terms,Negotiate purchases or contracts,Business operations and financial activities
Prepare sales or other contracts,Negotiate purchases or contracts,Business operations and financial activities
Negotiate purchases or contracts,Negotiate purchases or contracts,Business operations and financial activities
Determine pricing or monetary policies,Conduct financial transactions or processes,Business operations and financial activities
Collect payments for goods or services,Conduct financial transactions or processes,Business operations and financial activities
Disburse funds from clients' accounts to creditors,Conduct financial transactions or processes,Business operations and financial activities
Compute debt repayment schedules,Conduct financial transactions or processes,Business operations and financial activities
Execute sales or other financial transactions,Conduct financial transactions or processes,Business operations and financial activities
Submit financial applications,Conduct financial transactions or processes,Business operations and financial activities
Authorise payments to settle legal disputes,Conduct financial transactions or processes,Business operations and financial activities
Process medical billing information,Conduct financial transactions or processes,Business operations and financial activities
Operate cash registers,Conduct financial transactions or processes,Business operations and financial activities
Process customer bills or payments,Conduct financial transactions or processes,Business operations and financial activities
Collect fares or payment from customers,Conduct financial transactions or processes,Business operations and financial activities
Manage budgets for personal services operations,Conduct financial transactions or processes,Business operations and financial activities
"Collect deposits, payments or fees",Conduct financial transactions or processes,Business operations and financial activities
Prepare cash for deposit or disbursement,Conduct financial transactions or processes,Business operations and financial activities
Negotiate financial arrangements,Conduct financial transactions or processes,Business operations and financial activities
"Issue money, credit or vouchers",Conduct financial transactions or processes,Business operations and financial activities
"Pay charges, fees or taxes",Conduct financial transactions or processes,Business operations and financial activities
Analyse financial records to improve efficiency,Verify and maintain financial records,Business operations and financial activities
Conduct financial or regulatory audits,Verify and maintain financial records,Business operations and financial activities
Verify accuracy of records,Verify and maintain financial records,Business operations and financial activities
Verify accuracy of financial information,Verify and maintain financial records,Business operations and financial activities
Verify customer credit information,Verify and maintain financial records,Business operations and financial activities
Maintain financial or account records,Verify and maintain financial records,Business operations and financial activities
Check data for recording errors,Verify and maintain financial records,Business operations and financial activities
Verify accuracy of financial or transactional data,Verify and maintain financial records,Business operations and financial activities
Obtain personal or financial information about customers or applicants,Verify and maintain financial records,Business operations and financial activities
Analyse financial records or reports to determine state of operations,Verify and maintain financial records,Business operations and financial activities
Examine financial records to ensure compliance with policies or regulations,Verify and maintain financial records,Business operations and financial activities
Plan facility layouts or designs,Plan and coordinate work operations,Business operations and financial activities
Plan work procedures,Plan and coordinate work operations,Business operations and financial activities
Determine appropriate locations for operations or installations,Plan and coordinate work operations,Business operations and financial activities
Direct design or development activities,Plan and coordinate work operations,Business operations and financial activities
Coordinate design activities,Plan and coordinate work operations,Business operations and financial activities
Coordinate construction project activities,Plan and coordinate work operations,Business operations and financial activities
Plan work operations,Plan and coordinate work operations,Business operations and financial activities
"Procure materials, equipment or other resources","Procure materials, supplies, or stock",Business operations and financial activities
Procure goods or services,"Procure materials, supplies, or stock",Business operations and financial activities
Procure stocks of merchandise or supplies,"Procure materials, supplies, or stock",Business operations and financial activities
"Order materials, supplies, or equipment","Procure materials, supplies, or stock",Business operations and financial activities
Procure supplies or equipment,"Procure materials, supplies, or stock",Business operations and financial activities
Administer compensation or benefits programs,Administer insurance or compensation programs,Business operations and financial activities
Review customer insurance information,Administer insurance or compensation programs,Business operations and financial activities
Arrange insurance coverage,Administer insurance or compensation programs,Business operations and financial activities
Assess or underwrite insurance claims,Administer insurance or compensation programs,Business operations and financial activities
Estimate demand for goods or services,Estimate costs of goods or services,Business operations and financial activities
Determine the value of goods or services,Estimate costs of goods or services,Business operations and financial activities
Estimate costs or terms of sales,Estimate costs of goods or services,Business operations and financial activities
"Estimate costs of goods, services or materials",Estimate costs of goods or services,Business operations and financial activities
Calculate costs of goods or services,Estimate costs of goods or services,Business operations and financial activities
Estimate costs of goods or services,Estimate costs of goods or services,Business operations and financial activities
"Assess the cost effectiveness of products, projects or services",Estimate costs of goods or services,Business operations and financial activities
Develop business or market strategies,Develop business or market strategies,Business operations and financial activities
Identify strategic business investment opportunities,Develop business or market strategies,Business operations and financial activities
Develop business relationships,Develop business or market strategies,Business operations and financial activities
Monitor external affairs or events affecting business operations,Undertake business processes,Business operations and financial activities
Oversee business processes,Undertake business processes,Business operations and financial activities
Prepare business correspondence,Undertake business processes,Business operations and financial activities
Maintain knowledge of business operations,Undertake business processes,Business operations and financial activities
Assess risks to business operations,Undertake business processes,Business operations and financial activities
Establish business management methods,Undertake business processes,Business operations and financial activities
Measure effectiveness of business strategies or practices,Undertake business processes,Business operations and financial activities
Monitor business indicators,Undertake business processes,Business operations and financial activities
Monitor inventories,Maintain inventory and stock,Business operations and financial activities
"Maintain inventories of materials, equipment or products",Maintain inventory and stock,Business operations and financial activities
Stock products or parts,Maintain inventory and stock,Business operations and financial activities
Maintain the inventory of equipment,Maintain inventory and stock,Business operations and financial activities
"Maintain food, drink or equipment inventories",Maintain inventory and stock,Business operations and financial activities
Maintain supply or equipment inventories,Maintain inventory and stock,Business operations and financial activities
Stock medical or patient care supplies,Maintain inventory and stock,Business operations and financial activities
Store items,Maintain inventory and stock,Business operations and financial activities
"Stock supplies, merchandise, food or drink",Maintain inventory and stock,Business operations and financial activities
Inventory materials or equipment,Maintain inventory and stock,Business operations and financial activities
Store supplies or goods in kitchens or storage areas,Maintain inventory and stock,Business operations and financial activities
Collate or assemble product orders,Maintain inventory and stock,Business operations and financial activities
"Ensure safe meat, dairy or produce storage",Maintain inventory and stock,Business operations and financial activities
Confer with others about financial matters,Provide financial advice,Business operations and financial activities
Interpret financial information for others,Provide financial advice,Business operations and financial activities
Explain financial information to customers,Provide financial advice,Business operations and financial activities
Discuss account status or activity with customers or patrons,Provide financial advice,Business operations and financial activities
Customise financial goods or services to meet customer needs,Provide financial advice,Business operations and financial activities
Advise others on financial matters,Provide financial advice,Business operations and financial activities
Educate clients on financial planning topics,Provide financial advice,Business operations and financial activities
Recommend investments to clients,Identify and recommend investments to clients,Business operations and financial activities
Identify investment opportunities or strategies,Identify and recommend investments to clients,Business operations and financial activities
"Establish standards for products, processes or procedures",Operational specifications design and reporting,Business operations and financial activities
Determine operational criteria or specifications,Operational specifications design and reporting,Business operations and financial activities
Develop performance metrics or standards related to information technology,Operational specifications design and reporting,Business operations and financial activities
Prepare technical or operational reports,Operational specifications design and reporting,Business operations and financial activities
Interpret design or operational test results,Operational specifications design and reporting,Business operations and financial activities
Document design or operational test results,Operational specifications design and reporting,Business operations and financial activities
Perform clerical work in medical settings,Perform administrative or clerical tasks,Business operations and financial activities
Perform student enrolment or registration activities,Perform administrative or clerical tasks,Business operations and financial activities
Prepare procedural documents,Perform administrative or clerical tasks,Business operations and financial activities
Perform administrative or clerical tasks,Perform administrative or clerical tasks,Business operations and financial activities
Schedule appointments,Perform administrative or clerical tasks,Business operations and financial activities
Supervise clerical or administrative staff,Perform administrative or clerical tasks,Business operations and financial activities
Manage clerical or administrative activities,Perform administrative or clerical tasks,Business operations and financial activities
